23/04/01, 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg)
24/02/09, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), PCS 101 有効電力指令 (kW), 発電機ｼｽﾃﾑ電力 (kW)
24/02/10, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 増速機 加速度 後方Z (m/s^2), PCS 101 有効電力指令 (kW)
24/02/11, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), PCS 101 有効電力指令 (kW), 発電機ｼｽﾃﾑ電力 (kW)
24/02/12, 増速機 加速度 後方Z (m/s^2), ﾋﾟｯﾁ1 充電率 (%), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対風向 右側 (deg)
24/02/13, ﾋﾟｯﾁ1 充電率 (%), ﾅｾﾙ方位角 (0-360) (deg), ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), 増速機 加速度 後方Z (m/s^2), 絶対ﾅｾﾙ方位角θ1 (deg)
24/02/14, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
24/02/15, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), PCS 101 有効電力指令 (kW), 発電機ｼｽﾃﾑ電力 (kW)
24/02/16, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
24/02/17, ﾅｾﾙ方位角 (0-360) (deg), ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), 増速機 加速度 後方Z (m/s^2), 絶対ﾅｾﾙ方位角θ1 (deg), ﾋﾟｯﾁ1 充電率 (%)
24/02/18, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg)
24/02/19, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), 増速機 加速度 後方Z (m/s^2), ﾅｾﾙ方位角 (0-360) (deg), PCS 101 有効電力指令 (kW), 絶対ﾅｾﾙ方位角θ1 (deg)
24/02/20, ﾋﾟｯﾁ1 充電率 (%), ﾅｾﾙ方位角 (0-360) (deg), ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), 増速機 加速度 後方Z (m/s^2), 絶対ﾅｾﾙ方位角θ1 (deg)
24/02/21, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
24/02/22, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
24/02/23, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
24/02/24, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
24/02/25, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
24/02/26, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
24/02/27, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対風向 右側 (deg), 絶対ﾅｾﾙ方位角θ2 (deg)
24/02/28, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
24/02/29, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), 絶対ﾅｾﾙ方位角θ1 (deg), 絶対ﾅｾﾙ方位角θ2 (deg), 絶対風向 右側 (deg)
24/03/01, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), PCS 101 有効電力指令 (kW), 発電機ｼｽﾃﾑ電力 (kW), PCS 08 ｼｽﾃﾑ有効電力 (kW), ﾅｾﾙ方位角 (0-360) (deg)
24/03/02, ﾋﾟｯﾁ1 ﾊﾞｯﾃﾘｰ電圧 (V), ﾅｾﾙ方位角 (0-360) (deg), PCS 101 有効電力指令 (kW), 発電機ｼｽﾃﾑ電力 (kW), PCS 08 ｼｽﾃﾑ有効電力 (kW)
